app,interventionDuration,timezone,timestamp,isReIntervention,resolution,interventionType
tikTok,3,America/New_York,1750386642.3868852,False,dismissedAppOpening,breathingExercise
tikTok,3,America/New_York,1750386712.806205,False,dismissedAppOpening,breathingExercise
tikTok,3,America/New_York,1750423339.807012,False,openedApp,breathingExercise
tikTok,3,America/New_York,1750431337.1439462,False,openedApp,breathingExercise
tikTok,3,America/New_York,1750435005.9463902,False,openedApp,breathingExercise
tikTok,3,America/New_York,1750435473.58302,False,openedApp,breathingExercise
tikTok,3,America/New_York,1750436616.311287,False,dismissedAppOpening,breathingExercise
tikTok,3,America/New_York,1750446474.4576302,False,dismissedAppOpening,breathingExercise
tikTok,3,America/New_York,1750448137.1648378,False,dismissedAppOpening,breathingExercise
tikTok,3,America/New_York,1750459787.456674,False,openedApp,breathingExercise
tikTok,3,America/New_York,1750467755.171195,False,openedApp,breathingExercise
tikTok,3,America/New_York,1750468533.113596,False,dismissedAppOpening,breathingExercise
tikTok,3,America/New_York,1750472327.41838,False,openedApp,breathingExercise
tikTok,3,America/New_York,1750529100.710299,False,openedApp,breathingExercise
tikTok,3,America/New_York,1750539115.144294,False,openedApp,breathingExercise
tikTok,3,America/New_York,1750555771.873413,False,dismissedAppOpening,breathingExercise
tikTok,3,America/New_York,1750592945.9028091,False,openedApp,breathingExercise
tikTok,3,America/New_York,1750604949.783452,False,dismissedAppOpening,breathingExercise
tikTok,3,America/New_York,1750613512.447411,False,openedApp,breathingExercise
tikTok,3,America/New_York,1750614070.541785,False,dismissedAppOpening,breathingExercise
tikTok,3,America/New_York,1750632663.062846,False,openedApp,breathingExercise
tikTok,3,America/New_York,1750633775.540767,False,openedApp,breathingExercise
tikTok,3,America/New_York,1750639130.095254,False,openedApp,breathingExercise
tikTok,3,America/New_York,1750639446.749209,False,openedApp,breathingExercise
