resolution,interventionType,timezone,isReIntervention,app,timestamp,interventionDuration,timeIntervalUntilReIntervention
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748492062.4543939,3.0,
dismissedAppOpening,breathingExercise,America/Los_Angeles,False,instagram,1748495031.801559,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748495051.7948341,3.0,
dismissedAppOpening,breathingExercise,America/Los_Angeles,False,instagram,1748495561.688817,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748495582.247826,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748527238.951936,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748529028.713433,3.0,
dismissedAppOpening,breathingExercise,America/Los_Angeles,False,instagram,1748530081.567586,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748537898.4617271,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748539404.401297,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748540045.6604218,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748541994.87316,3.0,120.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748544031.800129,3.0,360.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748544578.4394531,3.0,600.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748544898.696142,3.0,780.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748544925.616797,3.0,540.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748544980.214258,3.0,540.0
dismissedAppOpening,breathingExercise,America/Los_Angeles,False,instagram,1748546286.4108438,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748546394.2702708,3.0,1080.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748546795.69003,3.0,480.0
openedApp,breathingExercise,America/Los_Angeles,True,instagram,1748547290.953851,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748551017.165282,3.0,360.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748551868.0716848,3.0,
openedApp,breathingExercise,America/Los_Angeles,True,instagram,1748551937.159958,3.0,1740.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748552820.138741,3.0,720.0
dismissedAppOpening,breathingExercise,America/Los_Angeles,False,instagram,1748553849.645581,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748553995.781417,3.0,1620.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748554078.942112,3.0,1080.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748554138.920404,3.0,840.0
openedApp,breathingExercise,America/Los_Angeles,True,instagram,1748554997.578617,3.0,1020.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748559626.314083,3.0,780.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748569305.772999,3.0,300.0
dismissedAppOpening,breathingExercise,America/Los_Angeles,False,instagram,1748569516.225713,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748570867.437366,3.0,1080.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748572176.736778,3.0,480.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748577838.466734,3.0,360.0
dismissedAppOpening,breathingExercise,America/Los_Angeles,False,instagram,1748577953.933713,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748578058.406001,3.0,660.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748584377.590166,3.0,300.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748584709.491839,3.0,300.0
dismissedAppOpening,breathingExercise,America/Los_Angeles,False,instagram,1748618128.6342602,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748618141.5378761,3.0,600.0
openedApp,breathingExercise,America/Los_Angeles,True,instagram,1748618763.990295,3.0,300.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748622927.895304,3.0,300.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748623646.954365,3.0,240.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748625339.3608751,3.0,300.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748628366.8545241,3.0,420.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748628492.251192,3.0,360.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748636779.541229,3.0,1320.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748638063.3886108,3.0,420.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748639772.901573,3.0,360.0
dismissedAppOpening,breathingExercise,America/Los_Angeles,False,instagram,1748640732.7634869,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748643485.761026,3.0,360.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748643577.5789971,3.0,420.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748643725.196622,3.0,300.0
dismissedAppOpening,breathingExercise,America/Los_Angeles,False,instagram,1748643832.192347,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748643860.7542238,3.0,600.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748644376.745193,3.0,420.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748644561.71748,3.0,300.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748644684.578179,3.0,360.0
openedApp,breathingExercise,America/Los_Angeles,True,instagram,1748645060.53876,3.0,1020.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748645676.7626219,3.0,60.0
dismissedAppOpening,breathingExercise,America/Los_Angeles,False,instagram,1748645699.3694801,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748645721.869983,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748646178.816592,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748646192.865943,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748647348.012804,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748651455.758452,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748651570.1396651,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748656461.646255,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748658225.050991,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748659577.4995131,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748660373.740099,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748663481.958746,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748676805.9894052,3.0,600.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748705765.624147,3.0,1020.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748706061.1870499,3.0,360.0
dismissedAppOpening,breathingExercise,America/Los_Angeles,False,instagram,1748706327.766144,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748706559.866533,3.0,900.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748707143.001673,3.0,540.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748707327.917104,3.0,60.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748707367.522612,3.0,780.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748707487.499722,3.0,480.0
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748711246.021954,3.0,1200.0
dismissedAppOpening,breathingExercise,America/Los_Angeles,False,instagram,1748711620.7423282,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748711660.079577,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748712179.835929,3.0,
dismissedAppOpening,breathingExercise,America/Los_Angeles,False,instagram,1748713106.713064,3.0,
dismissedAppOpening,breathingExercise,America/Los_Angeles,False,instagram,1748714464.996346,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748714584.936295,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748714754.1589088,3.0,
dismissedAppOpening,breathingExercise,America/Los_Angeles,False,instagram,1748715437.180643,3.0,
dismissedAppOpening,breathingExercise,America/Los_Angeles,False,instagram,1748716089.7586231,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748716100.016045,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748716880.46413,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748716971.238003,3.0,
dismissedAppOpening,breathingExercise,America/Los_Angeles,False,instagram,1748717435.82506,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748717614.110117,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748718896.3604112,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748719752.780544,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748722000.394557,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748722454.851416,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748724738.273633,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748725405.122853,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748730504.404535,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748732674.0651221,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748743100.886054,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748743336.186271,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748754144.636733,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748792146.844964,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748794536.453259,3.0,
openedApp,,America/Los_Angeles,False,instagram,1748795732.324981,,
closedApp,,America/Los_Angeles,False,instagram,1748795852.324981,,
dismissedAppOpening,,America/Los_Angeles,False,instagram,1748795852.324981,,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748796842.621623,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748797372.5132751,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748798558.668944,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748811260.58371,3.0,
openedApp,,America/Los_Angeles,False,instagram,1748812320.024857,,
closedApp,,America/Los_Angeles,False,instagram,1748812440.024857,,
dismissedAppOpening,,America/Los_Angeles,False,instagram,1748812440.024857,,
dismissedAppOpening,breathingExercise,America/Los_Angeles,False,instagram,1748812459.435298,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748812593.920168,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748823547.713635,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748828485.93922,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748833524.714993,3.0,
dismissedAppOpening,breathingExercise,America/Los_Angeles,False,instagram,1748916708.456946,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748916795.4367762,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748924925.0183291,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748925246.303934,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748978931.6546621,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748985228.9889622,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1748996122.317059,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1749001507.171576,3.0,
openedApp,breathingExercise,America/Los_Angeles,False,instagram,1749007893.704,3.0,
